Entry,ProteinClass
208,RTK
209,MHC
210,GPCR
211,Protease
212,ATPase
213,Channel
214,Channel
215,RTK
216,Channel
217,Channel
218,ATPase
219,Channel
220,RTK
221,MHC
222,GPCR
223,Ser:Thr
224,GPCR
225,Protease
226,ATPase
227,Protease
228,Protease
229,Channel
230,GPCR
231,RTK
232,Protease
233,MHC
234,Channel
235,Protease
236,GPCR
237,GPCR
238,GPCR
239,GPCR
240,MHC
241,Channel
242,GPCR
243,GPCR
244,Phosphatase
245,GPCR
246,GPCR
247,Channel
248,GPCR
249,RTK
250,GPCR
251,Channel
252,GPCR
253,ATPase
254,GPCR
255,GPCR
256,Channel
257,MHC
258,Channel
259,GPCR
260,ATPase
261,GPCR
262,Phosphatase
263,Channel
264,RTK
265,Channel
266,GPCR
267,ATPase
268,RTK
269,Protease
270,GPCR
271,Phosphatase
272,Channel
273,Ser:Thr
274,Channel
275,GPCR
276,Integrin
277,Protease
278,Channel
279,GPCR
280,Channel
281,Channel
282,GPCR
283,Protease
284,ATPase
285,GPCR
286,Channel
287,Ser:Thr
288,GPCR
289,RTK
290,Channel
291,Channel
292,GPCR
293,GPCR
294,Channel
295,Protease
296,Channel
297,Channel
298,GPCR
299,Phosphatase
300,RTK
301,ATPase
302,MHC
303,MHC
304,Phosphatase
305,Channel
306,Ser:Thr
307,GPCR
308,GPCR
309,Channel
310,Integrin
311,GPCR
312,Channel
313,Channel
314,Channel
315,Ser:Thr
316,Protease
317,Channel
318,Phosphatase
319,Channel
320,GPCR
321,Protease
322,Channel
323,RTK
324,Phosphatase
325,MHC
326,Channel
327,RTK
328,RTK
329,Channel
330,Channel
331,Channel
332,Ser:Thr
333,Channel
334,GPCR
335,GPCR
336,Channel
337,ATPase
338,GPCR
339,Ser:Thr
340,GPCR
341,Ser:Thr
342,GPCR
343,GPCR
344,Channel
345,GPCR
346,ATPase
347,Channel
348,Channel
349,GPCR
350,Channel
351,Channel
352,Channel
353,Phosphatase
354,Channel
355,Channel
356,ATPase
357,GPCR
358,RTK
359,GPCR
360,Protease
361,GPCR
362,RTK
363,MHC
364,Channel
365,ATPase
366,Channel
367,MHC
368,GPCR
369,Protease
370,GPCR
371,Protease
372,RTK
373,Channel
374,Channel
375,Channel
376,MHC
377,Phosphatase
378,ATPase
379,MHC
380,GPCR
381,Phosphatase
382,Phosphatase
383,GPCR
384,GPCR
385,Channel
386,Integrin
387,GPCR
388,ATPase
389,Ser:Thr
390,Channel
391,Phosphatase
392,Channel
393,Ser:Thr
394,MHC
395,GPCR
396,GPCR
397,Phosphatase
398,Channel
399,GPCR
400,RTK
401,GPCR
402,MHC
403,GPCR
404,Channel
405,Protease
406,Protease
407,GPCR
408,Phosphatase
409,Phosphatase
410,ATPase
411,RTK
412,RTK
413,GPCR
414,Ser:Thr
415,MHC
416,MHC
417,GPCR
418,GPCR
419,GPCR
420,Protease
421,GPCR
422,RTK
423,GPCR
424,GPCR
425,MHC
426,Ser:Thr
427,Protease
428,Phosphatase
429,Channel
430,Channel
431,GPCR
432,Phosphatase
433,Protease
434,Channel
435,GPCR
436,Channel
437,ATPase
438,Channel
439,GPCR
440,GPCR
441,Phosphatase
442,Ser:Thr
443,RTK
444,Protease
445,GPCR
446,RTK
447,MHC
448,Channel
449,Channel
450,GPCR
451,ATPase
452,GPCR
453,Channel
454,Channel
455,ATPase
456,GPCR
457,Phosphatase
458,Phosphatase
459,GPCR
460,Channel
461,RTK
462,GPCR
463,GPCR
464,ATPase
465,Channel
466,GPCR
467,Channel
468,ATPase
469,Phosphatase
470,Phosphatase
471,Phosphatase
472,Channel
473,Channel
474,GPCR
475,Channel
476,Integrin
477,Channel
478,GPCR
479,GPCR
480,Ser:Thr
481,Channel
482,Channel
483,GPCR
484,Ser:Thr
485,MHC
486,GPCR
487,Ser:Thr
488,Channel
489,Channel
490,GPCR
491,Protease
492,ATPase
493,Channel
494,Ser:Thr
495,GPCR
496,RTK
497,ATPase
498,Channel
499,RTK
500,Channel
501,Channel
502,Channel
503,RTK
504,MHC
505,ATPase
506,Protease
507,ATPase
508,MHC
509,ATPase
510,Protease
511,RTK
512,Channel
513,RTK
514,MHC
515,GPCR
516,RTK
517,GPCR
518,Channel
519,GPCR
520,ATPase
521,GPCR
522,Channel
523,GPCR
524,Channel
525,Ser:Thr
526,Channel
527,Phosphatase
528,GPCR
529,ATPase
530,Channel
531,Protease
532,ATPase
533,Integrin
534,MHC
535,GPCR
536,GPCR
537,Channel
538,RTK
539,ATPase
540,GPCR
541,GPCR
542,Integrin
543,GPCR
544,RTK
545,GPCR
546,ATPase
547,ATPase
548,RTK
549,ATPase
550,Channel
551,Channel
552,MHC
553,GPCR
554,ATPase
555,Channel
556,GPCR
557,GPCR
558,Channel
559,RTK
560,GPCR
561,Channel
562,GPCR
563,MHC
564,GPCR
565,Phosphatase
566,Channel
567,ATPase
568,RTK
569,GPCR
570,Ser:Thr
571,RTK
572,RTK
573,RTK
574,GPCR
575,RTK
576,ATPase
577,ATPase
578,Channel
579,GPCR
580,GPCR
581,Phosphatase
582,GPCR
583,ATPase
584,Channel
585,Ser:Thr
586,RTK
587,Phosphatase
588,GPCR
589,Ser:Thr
590,Ser:Thr
591,Protease
592,RTK
593,ATPase
594,Protease
595,Ser:Thr
596,Channel
597,GPCR
598,Channel
599,RTK
600,Channel
601,Channel
602,RTK
603,Protease
604,Channel
605,Channel
606,RTK
607,Ser:Thr
608,Integrin
609,GPCR
610,Channel
611,GPCR
612,Channel
613,Phosphatase
614,MHC
615,GPCR
616,GPCR
617,Protease
618,RTK
619,GPCR
620,Channel
621,GPCR
622,Channel
623,Ser:Thr
624,Channel
625,Channel
626,RTK
627,ATPase
628,Protease
629,Channel
630,Channel
631,ATPase
632,MHC
633,GPCR
634,Phosphatase
635,GPCR
636,GPCR
637,Protease
638,RTK
639,GPCR
640,Channel
641,Channel
642,MHC
643,RTK
644,GPCR
645,Channel
646,Channel
647,Phosphatase
648,Protease
649,GPCR
650,Phosphatase
651,GPCR
652,GPCR
653,Channel
654,Channel
655,Ser:Thr
656,Channel
657,Channel
658,Channel
659,Protease
660,RTK
661,GPCR
662,ATPase
663,GPCR
664,MHC
665,RTK
666,GPCR
667,Channel
668,RTK
669,GPCR
670,GPCR
671,GPCR
672,Channel
673,Channel
674,RTK
675,Phosphatase
676,ATPase
677,GPCR
678,ATPase
679,GPCR
680,GPCR
